date,exchange,status,start_time,end_time,holiday_name
2014-09-01,NYSE,closed,,,Labor Day
2014-11-27,NYSE,closed,,,Thanksgiving Day
2014-11-28,NYSE,short day,09:30,13:00,Black Friday
2014-12-24,NYSE,short day,09:30,13:00,Christmas Eve
2014-12-25,NYSE,closed,,,Christmas Day
2015-01-01,NYSE,closed,,,New Year's Day
2015-01-19,NYSE,closed,,,Martin Luther King's Birthday
2015-02-16,NYSE,closed,,,Washington's Birthday
2015-04-03,NYSE,closed,,,Good Friday
2015-05-25,NYSE,closed,,,Memorial Day
2015-07-03,NYSE,closed,,,Independence Day Observed
2015-09-07,NYSE,closed,,,Labor Day
2015-11-26,NYSE,closed,,,Thanksgiving Day
2015-11-27,NYSE,short day,09:30,13:00,Black Friday
2015-12-24,NYSE,short day,09:30,13:00,Christmas Eve
2015-12-25,NYSE,closed,,,Christmas Day
2016-01-01,NYSE,closed,,,New Year's Day
2016-01-18,NYSE,closed,,,Martin Luther King's Birthday
2016-02-15,NYSE,closed,,,Washington's Birthday
2016-03-25,NYSE,closed,,,Good Friday
2016-05-30,NYSE,closed,,,Memorial Day
2016-07-04,NYSE,closed,,,Independence Day
2016-09-05,NYSE,closed,,,Labor Day
2016-11-24,NYSE,closed,,,Thanksgiving Day
2016-11-25,NYSE,short day,09:30,13:00,Black Friday
2016-12-26,NYSE,closed,,,Christmas Day Observed
2017-01-02,NYSE,closed,,,New Year's Day Observed
2017-01-16,NYSE,closed,,,Martin Luther King's Birthday
2017-02-20,NYSE,closed,,,Washington's Birthday
2017-04-14,NYSE,closed,,,Good Friday
2017-05-29,NYSE,closed,,,Memorial Day
2017-07-03,NYSE,short day,09:30,13:00,Independence Day
2017-07-04,NYSE,closed,,,Independence Day
2017-09-04,NYSE,closed,,,Labor Day
2017-11-23,NYSE,closed,,,Thanksgiving Day
2017-11-24,NYSE,short day,09:30,13:00,Black Friday
2017-12-25,NYSE,closed,,,Christmas Day
2018-01-01,NYSE,closed,,,New Year's Day
2018-01-15,NYSE,closed,,,Martin Luther King's Birthday
2018-02-19,NYSE,closed,,,Washington's Birthday
2018-03-30,NYSE,closed,,,Good Friday
2018-05-28,NYSE,closed,,,Memorial Day
2018-07-03,NYSE,short day,09:30,13:00,Independence Day
2018-07-04,NYSE,closed,,,Independence Day
2018-09-03,NYSE,closed,,,Labor Day
2018-11-22,NYSE,closed,,,Thanksgiving Day
2018-11-23,NYSE,short day,09:30,13:00,Black Friday
2018-12-05,NYSE,closed,,,Exchange Holiday
2018-12-24,NYSE,short day,09:30,13:00,Christmas Eve
2018-12-25,NYSE,closed,,,Christmas Day
2019-01-01,NYSE,closed,,,New Year's Day
2019-01-21,NYSE,closed,,,Martin Luther King's Birthday
2019-02-18,NYSE,closed,,,Washington's Birthday
2019-04-19,NYSE,closed,,,Good Friday
2019-05-27,NYSE,closed,,,Memorial Day
2019-07-03,NYSE,short day,09:30,13:00,Independence Day
2019-07-04,NYSE,closed,,,Independence Day
2019-09-02,NYSE,closed,,,Labor Day
2019-11-28,NYSE,closed,,,Thanksgiving Day
2019-11-29,NYSE,short day,09:30,13:00,Black Friday
2019-12-24,NYSE,short day,09:30,13:00,Christmas Eve
2019-12-25,NYSE,closed,,,Christmas Day
2020-01-01,NYSE,closed,,,New Year's Day
2020-01-20,NYSE,closed,,,Martin Luther King's Birthday
2020-02-17,NYSE,closed,,,Washington's Birthday
2020-04-10,NYSE,closed,,,Good Friday
2020-05-25,NYSE,closed,,,Memorial Day
2020-07-03,NYSE,closed,,,Independence Day Observed
2020-09-07,NYSE,closed,,,Labor Day
2020-11-26,NYSE,closed,,,Thanksgiving Day
2020-11-27,NYSE,short day,09:30,13:00,Black Friday
2020-12-24,NYSE,short day,09:30,13:00,Christmas Eve
2020-12-25,NYSE,closed,,,Christmas Day
2021-01-01,NYSE,closed,,,New Year's Day
2021-01-18,NYSE,closed,,,Martin Luther King's Birthday
2021-02-15,NYSE,closed,,,Washington's Birthday
2021-04-02,NYSE,closed,,,Good Friday
2021-05-31,NYSE,closed,,,Memorial Day
2021-07-05,NYSE,closed,,,Independence Day Observed
2021-09-06,NYSE,closed,,,Labor Day
2021-11-25,NYSE,closed,,,Thanksgiving Day
2021-11-26,NYSE,short day,09:30,13:00,Black Friday
2021-12-24,NYSE,closed,,,Christmas Day Observed
2022-01-17,NYSE,closed,,,Martin Luther King's Birthday
2022-02-21,NYSE,closed,,,Washington's Birthday
